manager,name_of_issuer,cusip
Berkshire Hathaway,ABBVIE INC,00287Y109
Berkshire Hathaway,ACTIVISION BLIZZARD INC,00507V109
Berkshire Hathaway,ALLY FINL INC,02005N100
Berkshire Hathaway,ALPHABET INC,02079K305
Berkshire Hathaway,ALPHABET INC,02079K107
Berkshire Hathaway,AMAZON COM INC,023135106
Berkshire Hathaway,AMERICAN AIRLS GROUP INC,02376R102
Berkshire Hathaway,AMERICAN EXPRESS CO,025816109
Berkshire Hathaway,AON PLC,G0403H108
Berkshire Hathaway,APPLE INC,037833100
Berkshire Hathaway,BANK AMER CORP,060505104
Berkshire Hathaway,BANK AMERICA CORP,060505104
Berkshire Hathaway,BANK OF NEW YORK MELLON CORP,064058100
Berkshire Hathaway,BRISTOL-MYERS SQUIBB CO,110122108
Berkshire Hathaway,CAPITAL ONE FINL CORP,14040H105
Berkshire Hathaway,CHARTER COMMUNICATIONS INC N,16119P108
Berkshire Hathaway,CHEVRON CORP NEW,166764100
Berkshire Hathaway,CHEVRON CORPORATION,166764100
Berkshire Hathaway,CHUBB LIMITED,H1467J104
Berkshire Hathaway,CHUBB LTD SWITZ,H1467J104
Berkshire Hathaway,CITIGROUP INC,172967424
Berkshire Hathaway,COCA COLA CO,191216100
Berkshire Hathaway,CONSTELLATION BRANDS INC,21036P108
Berkshire Hathaway,COSTCO WHSL CORP NEW,22160K105
Berkshire Hathaway,DAVITA HEALTHCARE PARTNERS I,23918K108
Berkshire Hathaway,DAVITA INC,23918K108
Berkshire Hathaway,DEERE & CO,244199105
Berkshire Hathaway,DELTA AIR LINES INC,247361702
Berkshire Hathaway,DELTA AIR LINES INC DEL,247361702
Berkshire Hathaway,DOMINOS PIZZA INC,25754A201
Berkshire Hathaway,GENERAL MTRS CO,37045V100
Berkshire Hathaway,GOLDMAN SACHS GROUP INC,38141G104
Berkshire Hathaway,HP INC,40434L105
Berkshire Hathaway,INTERNATIONAL BUSINESS MACHS,459200101
Berkshire Hathaway,JPMORGAN CHASE & CO,46625H100
Berkshire Hathaway,KRAFT HEINZ CO,500754106
Berkshire Hathaway,KROGER CO,501044101
Berkshire Hathaway,LIBERTY LIVE HOLDINGS INC,530909308
Berkshire Hathaway,LIBERTY MEDIA CORP DEL,531229789
Berkshire Hathaway,LIBERTY MEDIA CORP DELAWARE,531229607
Berkshire Hathaway,MASTERCARD INC,57636Q104
Berkshire Hathaway,MASTERCARD INCORPORATED,57636Q104
Berkshire Hathaway,MERCK & CO. INC,58933Y105
Berkshire Hathaway,MOODYS CORP,615369105
Berkshire Hathaway,MOSANTO CO NEW,61166W101
Berkshire Hathaway,NEW YORK TIMES CO MTN BE,650111107
Berkshire Hathaway,NU HLDGS LTD,G6683N103
Berkshire Hathaway,OCCIDENTAL PETE CORP,674599105
Berkshire Hathaway,ORACLE CORP,68389X105
Berkshire Hathaway,PARAMOUNT GLOBAL,92556H206
Berkshire Hathaway,PHILLIPS 66,718546104
Berkshire Hathaway,SIRIUS XM HOLDINGS INC,829933100
Berkshire Hathaway,SIRIUSXM HOLDINGS INC,829933100
Berkshire Hathaway,SNOWFLAKE INC,833445109
Berkshire Hathaway,SOUTHWEST AIRLS CO,844741108
Berkshire Hathaway,TAIWAN SEMICONDUCTOR MFG LTD,874039100
Berkshire Hathaway,U S G CORP,903293405
Berkshire Hathaway,UNITED CONTL HLDGS INC,910047109
Berkshire Hathaway,UNITEDHEALTH GROUP INC,91324P102
Berkshire Hathaway,US BANCORP DEL,902973304
Berkshire Hathaway,VERISIGN INC,92343E102
Berkshire Hathaway,VERIZON COMMUNICATIONS INC,92343V104
