ticker,company,district
BHLB,Berkshire Hills Bancorp,Boston
BRKL,Brookline Bancorp,Boston
INDB,Independent Bank Corp,Boston
MTB,M&T Bank,New York
VLY,Valley National Bancorp,New York
NYCB,New York Community Bancorp,New York
FULT,Fulton Financial,Philadelphia
CUBI,Customers Bancorp,Philadelphia
WSFS,WSFS Financial,Philadelphia
KEY,KeyCorp,Cleveland
HBAN,Huntington Bancshares,Cleveland
FITB,Fifth Third Bancorp,Cleveland
TFC,Truist Financial,Richmond
UBSI,United Bankshares,Richmond
AUB,Atlantic Union Bankshares,Richmond
RF,Regions Financial,Atlanta
SNV,Synovus Financial,Atlanta
ABCB,Ameris Bancorp,Atlanta
NTRS,Northern Trust,Chicago
WTFC,Wintrust Financial,Chicago
ONB,Old National Bancorp,Chicago
SFNC,Simmons First National,St. Louis
FMBH,First Mid Bancshares,St. Louis
MSBI,Midland States Bancorp,St. Louis
USB,U.S. Bancorp,Minneapolis
ALRS,Alerus Financial,Minneapolis
GBCI,Glacier Bancorp,Minneapolis
CBSH,Commerce Bancshares,Kansas City
UMBF,UMB Financial,Kansas City
BOKF,BOK Financial,Kansas City
CMA,Comerica,Dallas
CFR,Cullen/Frost Bankers,Dallas
PB,Prosperity Bancshares,Dallas
WAL,Western Alliance Bancorporation,San Francisco
EWBC,East West Bancorp,San Francisco
ZION,Zions Bancorporation,San Francisco
